Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Total_Number_of_Reviews,Positive_Review,Reviewer_Score,Tags,lat,lng,Calc_Average_Score,Average_Score_Difference,Leisure_trip,Couple,Solo_traveler,Business_trip,Group,Family_with_young_children,Family_with_older_children,With_a_pet
"London, United Kingdom",7/10/2017,7.9,Grange White Hall Hotel, United Kingdom , The check in process was very slow and made us run late for a booking we had made after The rooms didn t have air conditioning and was very hot we had one fan for 3 of us which didn t do a lot ,210, The location was good and we could walk easily to Covent Garden ,4.2," Leisure trip, Group, 2 rooms, Stayed 1 night, Submitted from a mobile device ",51.5203469,-0.1260893,7.9,0.0,1,0,0,0,1,0,0,0
"London, United Kingdom",8/2/2017,9.3,Hilton London Bankside, United Kingdom , There was little I didn t like One thing was that one of the bath robes had a dirty sleeve and there was a small amount dust on the surface of the glass box in the room Also there was a mark on the bathroom floor which looked like dirt at the first glance ,893, The staff were all very friendly and helpful The room was very comfortable and the shower was powerful and hot I liked the selection on the TV and the fact that the bathroom had a speaker so you could hear the TV clearly Plus the breakfast was lovely with the chefs cooking what you want and the waitresses getting drinks if you didn t get them yourself ,8.8," Business trip, Solo traveler, King Guest Room Wheelchair Accessible, Stayed 1 night, Submitted from a mobile device ",51.5056956,-0.101525,9.3,0.0,0,0,1,1,0,0,0,0
"London, United Kingdom",8/3/2017,8.3,DoubleTree by Hilton London Ealing, United Kingdom , Double room was very small there wasn t enough space around the bed for 2 people to get past each other We found ourselves having to back into corners to ler the other go by Bathroom was also very small with barely enough space to sit on the loo This is OK for a one night stay but I wouldn t want to stay in a room like this any longer than that ,680, Good public areas cafe and bar had plenty of space outdoor seating near the bar Good selection of breakfast items Decent size car park not free ,7.5," Leisure trip, Couple, Double Room, Stayed 1 night, Submitted from a mobile device ",51.511521,-0.290706,8.3,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",7/20/2017,8.7,Molitor Paris MGallery by Sofitel, United States of America , Location is far from the popular points of Paris 15 30 minute cab ride to most spots My adapter for the wall outlet disappeared after my room was serviced My room was overcharged incorrectly and now they want me to supply my bank account information for a refund Sloppy,73, The indoor and outdoor pools are fantastic perfect for both lounging or serious lap swimming There is a park nearby for walking biking or running The food is pretty good Friendly staff ,7.9," Leisure trip, Couple, Deluxe Double Room, Stayed 4 nights, Submitted from a mobile device ",48.8448902,2.252833,8.7,0.10000000000000142,1,1,0,0,0,0,0,0
"Paris, France",7/24/2017,8.3,First Hotel Paris Tour Eiffel, United States of America , The only drawback was that the train ran right in front of our window which was noisy and times I still would have chosen the room for the view ,72, The room was small yet expected in Paris Very clean and comfortable We described the decour as crisp Staff were all very nice and helpful Breakfast was great to start the day quickly Hotel itself was very quiet We had an amazing view of the Eiffel Tower which is the main reason I chose the hotel Walk to the tower was about 15 minutes Shopping nearby ,9.2," Leisure trip, Couple, Deluxe Double Room with Eiffel Tower view, Stayed 5 nights, Submitted from a mobile device ",48.8475112,2.3022198,8.3,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.4,DoubleTree by Hilton London Victoria, South Africa , Coffee and tea were stored in a cupboard which I discovered only on my second stay in the hotel,1063, The staff was courteous and attentive Great location for entertainment l Short walk from the palace and other sights ,9.2," Business trip, Solo traveler, Twin Room, Stayed 1 night, Submitted from a mobile device ",51.49398,-0.143372,8.4,0.0,0,0,1,1,0,0,0,0
"London, United Kingdom",7/19/2017,8.9,St Ermin s Hotel Autograph Collection, United Kingdom , Breakfast was a real disappointment Tables and chairs looked sad Felt as if we were in a canteen rather than a beautiful hotel ,384, Claxton Grill Fantastic,10.0," Leisure trip, Couple, Queen Room, Stayed 1 night ",51.498905,-0.1339093,8.9,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",7/30/2017,9.0,Montagu Place Hotel, Brazil , Our room was a little small and there is no lift ,111, The hotel is cozy comfortable clean and quiet The location is very good and the staff is very helpful friendly and efficient ,10.0," Leisure trip, Couple, Standard Double Room, Stayed 2 nights ",51.5191009,-0.1592,9.0,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,9.2,H tel Regina, United Arab Emirates ,No Negative,372, Building is very old but nicely maintained Bed quality was excellent and quality of toilettes are very good We booked family suite and there are three single beds in children room but we have a teenage daughter so they gave us two connecting rooms later which were much better The rooms are facing back of building which is better than facing road because it is more quiet and you can keep window open ,9.2," Leisure trip, Family with young children, Family Room, Stayed 5 nights ",48.8637503,2.3320406,9.2,-0.1999999999999993,1,0,0,0,0,1,0,0
"Paris, France",8/3/2017,7.9,Mercure Paris Gare De Lyon TGV, United Kingdom , Our first room carpet was wet so they moved us Bed in second room was really hard ,411, It s really handy for the station and easy checking in Staff friendly We have stayed several times,7.5," Leisure trip, Couple, Standard Double Room, Stayed 1 night, Submitted from a mobile device ",48.8442949,2.3730938,7.9,0.0,1,1,0,0,0,0,0,0
"Paris, France",7/7/2017,7.9,Villa Montparnasse, Spain , The shower hose is too short to be used standing or to be hooked on the wall The shower panel doesn t cover all the bathtub and I splashed all the bathroom ,52, Very comfortable clean and specially quiet There is a giant TV on the wall receiving channels from all Europe Very soft bed with 4 pillows ,8.3," Leisure trip, Solo traveler, Single Room, Stayed 1 night ",48.8349272,2.3295913,7.9,-0.3000000000000007,1,0,1,0,0,0,0,0
"Paris, France",7/21/2017,8.6,H tel des Champs Elys es, United Kingdom ,No Negative,183, There were complimentary pastries in reception in the afternoon the bed was very comfy and there was a complimentary safe in the room The shower was gorgeous too and the air conditioning in the room was a must The receptionist was very helpful friendly and spoke very good English He arranged our taxi to collect us from the airport and to take us back at the end of our trip,10.0," Leisure trip, Group, Classic Double Room, Stayed 2 nights ",48.8722884,2.3090359,8.6,-0.1999999999999993,1,0,0,0,1,0,0,0
"Paris, France",7/25/2017,9.1,Lyric H tel Paris, United Kingdom , A little pricey but isn t everywhere in Paris ,97, All staff were extremely polite and helpful Location was excellent since it was close to a few restaurants the metro and about a 10 minute walk to the airport shuttle drop off point It was also nice and quiet ,8.8," Leisure trip, Couple, Superior Double Room, Stayed 4 nights, Submitted from a mobile device ",48.8690126,2.3368708,9.1,-0.1999999999999993,1,1,0,0,0,0,0,0
"Paris, France",6/30/2017,9.4,Hotel Design Secret de Paris, United Arab Emirates , Nothing ,93, Beautifully stylish modernised hotel perfect service from everyone from the friendly personal greeting every time we passed the reception to the breakfast and cleaning staff Fantastic location most major attractions are within walking distance or a very short taxi ride if not a walker We would highly recommend this hotel for as romantic break ,10.0," Leisure trip, Couple, Double Room Trocad ro with Spa Bath, Stayed 4 nights ",48.8814056,2.3282568,9.4,-0.20000000000000107,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,9.5,Hotel Dupond Smith, United States of America ,No Negative,23, the accommodations were incredible we arrived for one night and got upgraded to a lovely suite the shower tub outdoor patio the bed the sitting room everything was perfection the boutique upscale and cozy hotel had the nicest staff and was so lovely to stay in the heart of paris they served an amazing breakfast that was typical parisian and so quaint and european it had such great vibes and it exceeded my expectations ,10.0," Leisure trip, Group, Superior Queen Room, Stayed 1 night ",48.857898,2.3571978,9.5,-0.1999999999999993,1,0,0,0,1,0,0,0
"Paris, France",7/31/2017,9.1,Okko Hotels Paris Porte De Versailles, Denmark , For us the location was a bit too far out from the main city sights ,43, Super clean new hotel with a lot of extras excellent afternoon welcome drinks and snacks and great breakfast ,8.8," Leisure trip, Couple, Comfort Double Room, Stayed 2 nights ",48.8327729,2.2787597,9.1,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",7/3/2017,8.2,La Villa Royale, Saudi Arabia , only one thing very poor internet conection,76, I ve been upgraded to luxury room with whirpool there s no number of the room but each room has own name my room was Yves Saint Laurent My room was in the fifth floor with view to Sacre coeur really beautiful So beautiful room like on old castle so romantic Very friendly staff good breakfast The best location metro station is in the front of the hotel ,10.0," Leisure trip, Solo traveler, Single Room, Stayed 4 nights ",48.8821595,2.3367444,8.2,-0.09999999999999964,1,0,1,0,0,0,0,0
"Paris, France",8/3/2017,9.0,Hotel Indigo Paris Opera, Australia , The Air conditioner would automaticly turn off The room tempreture was too hot We can t sleep well because we have to wake up to turn on the air conditioner at the midnight,115,No Positive,5.8," Leisure trip, Couple, Superior Double Room, Stayed 3 nights, Submitted from a mobile device ",48.8704371,2.329236,9.0,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",8/1/2017,8.4,Villa Opera Drouot, Australia , Was happy with everything except having to unlock the fridge every time you wanted something One way to stop drinking too much I suppose ,96, The decor felt so Parisian Friendly staff especially our breakfast waiter Great location supermarkets close by and restaurants Easy access to the Metro ,9.6," Leisure trip, Couple, Standard Twin Room, Stayed 5 nights, Submitted from a mobile device ",48.8732231,2.3436097,8.4,0.0,1,1,0,0,0,0,0,0
"Paris, France",8/2/2017,8.4,Novotel Paris Gare De Lyon, United Kingdom , Car park facilities were not clearly sign posted so we ended up parking in the wrong car park the station car park and paying more than we needed harder to access with a lot of luggage ,566, The bed was very comfortable with blackout blinds in the bedroom we slept really well The staff were attentive bathroom products good 24 hr pool great idea Fantastic hotel,10.0," Leisure trip, Family with young children, Superior Room with Queensize Bed and double couch 2 adults 2 children, Stayed 1 night, Submitted from a mobile device ",48.8453785,2.3753036,8.4,0.09999999999999964,1,0,0,0,0,1,0,0
"Paris, France",7/3/2017,8.3,H tel Belloy Saint Germain By Happyculture, Ireland , I missed all the daily free Champagne at 5 30 in the lobby My fault as I was always out touring Paris at that time You Will spend very little time in the Hotel Really I have nothing bad to say about this hotel having spent 4 great days there ,82, Location Location Location Minutes from Notre Dame and Lourve walking Metro RER Saint Micheal Notre Dame Station so handy for CDG airport Versailles Eiffel Tower Catacombs etc Beside the Latin Quarter with HUGE selection of cafe s restaurants etc I could go on and on but the Hotel is in a fantastic location The Metro station with a PARIS VISIT PASS makes traveling all over the city so convenient The hotel is clean service was good and the staff were genuinely very helpful and friendly They give you a complimentary mobile WiFi hotspot on checking in that works all over Paris OMG what a genius idea I was connected the whole time while touring Paris I did not avail of the hotel breakfast 15 as seriously you are in Paris every 10 feet of walking you seem to pass a restaurant or cafe always serving food and drink what ever your takes your fancy There is a Monoprix store around the corner you can buy beer wine or any of your usual essentials very handy ,10.0," Leisure trip, Solo traveler, Standard Double Room, Stayed 4 nights, Submitted from a mobile device ",48.8503901,2.3422527,8.3,0.0,1,0,1,0,0,0,0,0
"Paris, France",7/26/2017,8.8,Hotel Louis 2, United Kingdom , Room a little small for non intimate friends ,55, Excellent location Lovely airy bathroom good size compared to room which was bijou Decent breakfast Helpful staff ,8.8," Leisure trip, Group, Double or Twin Room with Bath, Stayed 2 nights ",48.8516148,2.3381293,8.8,-0.40000000000000036,1,0,0,0,1,0,0,0
"Paris, France",6/26/2017,8.7,InterContinental Paris Le Grand, Lebanon , The restaurant service and food at the breakfast and when we had a late lunch were below average The room had no charm or character It smelled like mold There was the metro noise that was heard all the time The wifi coverage was bad and kept on getting cut The A C did not work and they had to send someone to fix it twice The carpets are ugly in stairs and corridors of the hotel The bathroom is really old and of cheap quality The hotel is large and impersonal It is a three star hotel in a building that once hosted a grand hotel No coffee in the room No extra amenities or personal touch ,150, The bed was good Size of the room Concierge was helpful,4.2," Leisure trip, Couple, Superior Room, Stayed 1 night, Submitted from a mobile device ",48.8708391,2.3303651,8.7,0.10000000000000142,1,1,0,0,0,0,0,0
"London, United Kingdom",7/11/2017,8.1,The Trafalgar Hilton, United Arab Emirates , Lobby under construction,363, The room size is spacious and bed was very comfortable Staff very helpful and friendly Great location right at Tafaglar square ,10.0," Leisure trip, Couple, Deluxe King Room, Stayed 2 nights, Submitted from a mobile device ",51.507374,-0.129135,8.1,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,6.9,Park Lane Mews Hotel, United Kingdom , Rooms were in great need of re fit tatty breakfast was ok nothing special one member of staff picked a knife up that had fallen to the floor and reused it when resetting another table ,1057, The staff were helpful location very good the outside look of hotel is lovely and nice area to wander round Easy walking to oxford street etc ,5.4," Leisure trip, Solo traveler, Single Room, Stayed 1 night, Submitted from a mobile device ",51.5059334,-0.1489418,6.9,0.09999999999999964,1,0,1,0,0,0,0,0
"London, United Kingdom",7/7/2017,7.8,Old Ship Inn Hackney, United Kingdom ,No Negative,140, Appeared to have been recently refurbished to a good standard very clean and tidy Was slightly nervous looking at the pictures of available rooms in the price range at other hotels on the night of my stay but I needn t have worried The room was perfect for what I was after which was somewhere clean to rest my head after a concert Would happily stay there again if I m in the area very reasonable price considering it had an en suite ,9.6," Leisure trip, Solo traveler, Single Room, Stayed 1 night ",51.5458476,-0.0554113,7.8,0.10000000000000053,1,0,1,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.8,The Drayton Court Hotel, United Kingdom , The photos advertised on the pages showed nice vintage bath tubs What I didn t know was that there were only a select few rooms that had them The shower rooms I had in my room were good but I was expecting a bath tub I asked reception and they said that it should have been stated in the requests section during the booking At least I know for next time Some of the lighting for say the dressing table was obscure and difficult to find ,391, The customer service at reception and the restaurant were good Great selection of refreshments in the room from teas and fancy pods for the coffee machine The mini fridge for the small pint of fresh milk was an adorable touch The quirky decor definitely lived up to the description on the booking page Lovely view from my room of the big beer garden Unfortunately it was raining heavily when I stayed so I couldn t visit ,7.5," Leisure trip, Couple, Double Room, Stayed 1 night, Submitted from a mobile device ",51.5141842,-0.3192925,8.8,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,9.0,The Montcalm Marble Arch, United Kingdom , Staff very not welcoming There was no doorman to help with bags or door They want you to settle upfront even though you ve booked online with a card The room was dirty and cold as the window didn t close The room was very small and smells cigarette The bathroom very small Everything was wrong and bad service from staff ,1061, Very bad hotel ,3.8," Leisure trip, Couple, Deluxe Double Room, Stayed 1 night, Submitted from a mobile device ",51.5150522,-0.159239,9.0,-0.09999999999999964,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,7.7,The Colonnade, United Kingdom , Our room was very musty either a drain or damp problem All the windows were open when we arrived and we soon found out why when we shut them Given our short stay we didn t make an issue of this but I did mention it when checking out ,201, We were only staying one night with an early start the next morning and had stayed at the Colonnade before It s in a nice area and on street parking is easy The general areas in the hotel are welcoming We were greeted with a welcome drink which was nice after a long drive ,7.1," Leisure trip, Couple, Classic Double Room, Stayed 1 night ",51.5243286,-0.1846623,7.7,0.09999999999999964,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,8.9,The Royal Horseguards, United Kingdom , The bar staff were useless The hotel bar shut at 11 15 pm on Monday 31st July It was meant to be open until 12 30 After complaining we were attendend to by a bar girl with crap attitude who quite obviously didn t want to be there My advice is please make her wish come true sack her Then complained to duty manager about bar girl He was useless as well Won t be going back to this hotel ,974, Good Location,6.3," Leisure trip, Couple, Deluxe Double Room with River View, Stayed 2 nights ",51.5054185,-0.1241499,8.9,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.0,Grange Fitzrovia Hotel, United Kingdom , Our room was a little on the small side but was very comfortable and well fitted out ,455, The continental breakfast at 10 pp price when checking in was excellent value Staff very helpful and polite ,9.2," Leisure trip, Couple, Superior Double Room, Stayed 1 night ",51.521759,-0.1425381,8.0,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",8/1/2017,8.2,H tel Le M, United Arab Emirates , I was charged 50 Euro more at checkout than was stated on my booking when I questioned it the receptionist looked flustered and said she didn t know why and made me look like an idiot I paid anyway because my taxi was waiting I am following this up with Booking com I asked for a room with a view and got one facing a wall but they changed it to a street view after I asked Housekeeping didn t bother to clean any dirty glasses or my sheets The bathroom sink leaked onto the floor Be careful how you get out of bed because you may hit your head on the wall it s that cramped at either side of the bed Ask for a street view it s more vibrant and the Windows cut out all noise ,131, Really comfy bed and a vibrant location with plenty of restaurants on your doorstep,3.8," Leisure trip, Solo traveler, Double or Twin Room, Stayed 3 nights, Submitted from a mobile device ",48.8397623,2.3235324,8.2,0.0,1,0,1,0,0,0,0,0
"London, United Kingdom",11/23/2016,9.2,The Hari London, United Kingdom , Bare floor in room,235, Pleasant staff,7.9," Couple, Premium King Room, Stayed 3 nights, Submitted from a mobile device ",51.4973203,-0.1562558,9.2,0.0,0,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,9.1,citizenM London Bankside, United Kingdom , This was our third stay at this hotel and it was our worst our room was on the road side and we didn t get much sleep because of the traffic noise Plus I always look forward to the big screen tv only to discover ours wasn t as big as the last time A bit disappointed with the stay ,1517,No Positive,7.1," Leisure trip, Couple, Double Room, Stayed 1 night, Submitted from a mobile device ",51.5051507,-0.1004724,9.1,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,8.7,Radisson Blu Edwardian Mercer Street, Kuwait , The size of the room,767, Very small cozy hotel beautiful neighborhood great staff one of the best hotel staff I ever met the rooms are very tiny but it s london so it wasn t a shocking matter ,8.8," Leisure trip, Family with young children, Superior Double or Twin Room, Stayed 4 nights, Submitted from a mobile device ",51.5139275,-0.1271506,8.7,0.0,1,0,0,0,0,1,0,0
"London, United Kingdom",8/2/2017,8.3,Twenty Nevern Square Hotel, Canada , The room was incredibly small We had no room to keep our suitcases in the room we had to empty our clothes into a tiny closet and store our suitcases under the sink in the bathroom The double bed mattress was poor The air conditioning unit in the room had a hose out the window so the window had to sty open Not good when it was raining Mould in the bathroom We ve stayed in Earl s Court before and love the location and do not expect anything but a smallish room but this was quite unbelievable ,776, The front desk staff were extremely helpful and courteous as were the breakfast and housecleaning staff The breakfast was excellent and the breakfast room bright and cheerful We loved the cappucino coffee maker available all the time ,5.8," Leisure trip, Couple, Small Double Room, Stayed 2 nights, Submitted from a mobile device ",51.4915712,-0.1963192,8.3,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",7/26/2017,7.9,The Abbey Court Notting Hill, Norway , The lock key to the room was not exactly up to date ,90, Very nice big room with comfy beds and nice green view to the street room number 12 We liked the coffee tea facilities in the room and the bottles of water supplied every day Lovely breakfast room downstairs and lots of fresh fruit and berries Entrance to the hotel was closed and you had to ring the bell to enter This gave a feeling of security Nice and friendly staff Only a couple of minutes to the underground with 3 different lines The hotel was just around the corner from busy Notting Hill Gate yet still fairly quiet at night ,7.5," Leisure trip, Solo traveler, Standard Twin Room, Stayed 2 nights ",51.5101401,-0.1968951,7.9,-0.10000000000000053,1,0,1,0,0,0,0,0
"Paris, France",7/24/2017,8.6,Seven Hotel, United Kingdom , The paint work on skirting boards was peeling off a little and room was a little on the small side other than that it was great ,48, Rooms were very stylish bed was so comfortable and the shower was incredible I d go again just to have a shower Breakfast had a good variety in a lovely boutique room and staff were very helpful and nice ,8.8," Leisure trip, Couple, Classic Designer, Stayed 2 nights, Submitted from a mobile device ",48.8389823,2.3455528,8.6,-0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,8.9,Platine Hotel Spa, United States of America , No coffee tea service in the room Clear glass door to bath provided no privacy Breakfast with the room would hav better justified the cost of the room Other hotels with similar cost and location did provide breakfast ,113, About 20 min Walk to Eiffel Tower Very close to many types of restaurants ,9.2," Leisure trip, Couple, Classic Double or Twin Room, Stayed 2 nights, Submitted from a mobile device ",48.8473459,2.2832408,8.9,-0.3000000000000007,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,8.0,Mercure Paris Gare Montparnasse, Australia ,No Negative,37, Upgraded rooms are excellent Good size for travelers with 4 suitcases Beautiful bathroom with shower Bed very comfortable Linen crisp clean super white ,10.0," Leisure trip, Couple, Standard Room with Double Bed, Stayed 1 night, Submitted from a mobile device ",,,8.0,-0.20000000000000018,1,1,0,0,0,0,0,0
"Paris, France",7/22/2017,8.2,Mercure Paris Notre Dame Saint Germain des Pr s, United Kingdom , Rooms are small but fine for a few days visit as we were out and about most of the time Odd system when we booked as they sent a form to fill in for Credit Card details without which they couldn t guarantee the room Not sure if this was a one off due to an issue or if it was standard for the hotel or booking com Seemed a bit odd but confirmed directly with the hotel that it was all above board Just caused a bit of panic a day or two before we travelled ,75, Very clean and rooms in good condition Looked like it had been recently refurbished Location is great in Latin quarter near to restaurants and bars and felt safe at night we had children Handy Metro station round the corner easy walk to Notre Dame but would use the metro for other main attractions Staff friendly and helpful Would happily stay again ,9.6," Leisure trip, Family with young children, Double Twin Rooms Next to Each Other, Stayed 3 nights, Submitted from a mobile device ",48.8503074,2.3450612,8.2,-0.1999999999999993,1,0,0,0,0,1,0,0
"Paris, France",8/3/2017,7.9,Mercure Paris Centre Tour Eiffel, United Kingdom , We only stayed for one night however we had a member of staff walk into our room at 8 am I am assuming this was housekeeping however since we were checking out in three hours we saw this as pointless and quite rude There wasn t a knock or announcement the staff member just walked in ,771, The location is perfect The Eiffel Tower was a 2 minute walk away which meant we could sneak out before the crowds and catch the sunrise over the Eiffel Tower then go back for breakfast The staff at check in check out were fast and efficient A large selection of food available for breakfast Go down early as it got really busy from 9 am onwards The price was a little steep however in comparison to other properties available it was worth the money ,9.6," Leisure trip, Couple, Standard Double Room, Stayed 1 night ",48.8548641,2.2923181,7.9,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",7/20/2017,8.5,Banke H tel, United States of America ,No Negative,159, room booked was junior suite and it had all the room we were hoping for Bathroom shower was exceptional Everyone who worked at hotel were incredibly friendly and helpful,9.2," Leisure trip, Couple, Suite, Stayed 4 nights ",48.8735736,2.335965,8.5,-0.09999999999999964,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,9.1,Mondrian London, United Kingdom , The air conditioner was a little noisy ,1593, The bed was very comfortable and the bath towels luxurious The room was very well appointed and the staff so friendly and helpful ,9.2," Leisure trip, Couple, Superior, Stayed 1 night, Submitted from a mobile device ",51.5084036,-0.1067988,9.1,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",7/31/2017,8.0,Karma Sanctum Soho Hotel, South Africa , All was fabulous,193, The staff really went the extra mile for us and the concierge was brilliant He upgraded us and gave us two roll out beds for my daughters and really could not do enough for us ,10.0," Leisure trip, Family with young children, Deluxe Double Room, Stayed 2 nights ",51.5116049,-0.1383145,8.0,0.09999999999999964,1,0,0,0,0,1,0,0
"London, United Kingdom",7/8/2017,8.2,NH London Kensington, Canada , Tiny room for two people by North American standards Double bed No ice machine and frequently absent bar tender Excellent air conditioning as London was hot Twin bed rooms in subground level large but institutional and outfitted for wheelchair access Shower only Helpful staff Good full English breakfast Hotel feels a bit worn Pillows need replacing Noise from other rooms and hallway could be heard ,225,No Positive,5.8," Business trip, Couple, Standard Double, Stayed 11 nights, Submitted from a mobile device ",51.4948507,-0.1945544,8.2,0.0,0,1,0,1,0,0,0,0
"Paris, France",8/3/2017,8.0,Saint James Albany Paris Hotel Spa, France , Wifi didn t work in room We had to spend time in the lounge if we wanted to get Wifi Facilities seem to be in need of updating Airconditioning was not working and in July Thought that also came up in someone else s prior review One of the buttons to flush the toilet was not working The safe was not functioning For the price of the rooms I would have expected better not broken ,700, Excellent location across beautiful parks and close to metro and different types of restaurants The room was a good size with a big comfortable bed The bathrooms were updated ,5.4," Leisure trip, Family with young children, Junior Suite with Spa Access, Stayed 3 nights, Submitted from a mobile device ",48.8642689,2.3308179,8.0,0.0,1,0,0,0,0,1,0,0
"Paris, France",8/3/2017,8.4,Mercure Paris Montparnasse Raspail, United Kingdom ,No Negative,79, Staff very welcoming Supplied us with a UK plug adaptor as we had forgotten ours Breakfast very good lots of choice Location also great Very nice area of Paris to stay for young couple Lots of restaurants around and 2 metro very close by Vavin and Raspail ,8.8," Leisure trip, Couple, Standard Double Room, Stayed 2 nights ",48.8412131,2.3302954,8.4,-0.20000000000000107,1,1,0,0,0,0,0,0
"Paris, France",7/27/2017,8.7,Golden Tulip Bercy Gare de Lyon 209, United Kingdom , The room was a little small but not a real issue as we didn t spend much time in it ,168, Cleanliness of the room and overall hotel was excellent The staff were very friendly and helpful location great and very close to Metro line overall very impressed and would definately recommend Lovely breakfast as well ,9.6," Leisure trip, Couple, Superior Double Room, Stayed 2 nights, Submitted from a mobile device ",48.8393229,2.3892274,8.7,0.0,1,1,0,0,0,0,0,0
"Paris, France",7/26/2017,8.3,Montfleuri, Oman , I did not like that the room has separate toilet and separate shower far from each other rude staff not welcoming at all the breakfast does not include so many choices no omelet ,228, the size of the room was pretty good for a family comfy bed,7.9," Leisure trip, Family with young children, Prestige Family Room, Stayed 2 nights ",48.8747153,2.2906388,8.3,-0.10000000000000142,1,0,0,0,0,1,0,0
"London, United Kingdom",8/2/2017,7.6,Simply Rooms Suites, United Kingdom , nowhere to leave your luggage except under the stairs at reception so didnt feel safe to leave luggage,115, good value and an upmarket hotel room in a converted victorian house complete with air conditioning and a short walk to the train station,9.2," Leisure trip, Group, Classic Twin Room, Stayed 2 nights ",51.4944875,-0.2070605,7.6,0.10000000000000053,1,0,0,0,1,0,0,0
"Paris, France",8/3/2017,8.0,Mercure Paris Pigalle Sacre Coeur, United Kingdom , The staff were unhelpful and when advice was received we were sent to a very dangerous area which made us felt endangered ,65, The room and hotel was clean ,5.4," Leisure trip, Group, Standard Double Room, Stayed 3 nights, Submitted from a mobile device ",48.8823398,2.3364764,8.0,0.3000000000000007,1,0,0,0,1,0,0,0
"London, United Kingdom",8/2/2017,7.9,The Academy, United Kingdom ,No Negative,258, When we arrived we were shown a small room in the attic 4 flights of stairs When I explained I was not too happy they changed us to a ground floor room twice the size at no extra cost ,6.3," Leisure trip, Couple, Double Room, Stayed 2 nights ",51.5205441,-0.1308091,7.9,-0.10000000000000053,1,1,0,0,0,0,0,0
"London, United Kingdom",8/28/2016,7.6,Le Meridien Piccadilly, United Arab Emirates , Nothing,260, Everything,9.2," Leisure trip, Couple, Classic Double or Twin Room, Stayed 3 nights, Submitted from a mobile device ",51.5094835,-0.1362538,7.6,0.0,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,7.4,Mercure Paris Terminus Nord, New Zealand , No hot water for a bath Room smelt The whole hotel needs refurbishing Carpets are thirty years old Rooms need new basins painting tiling Noisy aircon,1459, Big room comfy bed,7.5," Leisure trip, Couple, Superior Room with 1 Double Bed, Stayed 3 nights, Submitted from a mobile device ",48.8794843,2.3556545,7.4,0.0,1,1,0,0,0,0,0,0
"Paris, France",7/25/2017,8.5,H tel F licien by Elegancia, United States of America , 4 00 checkin was far too strict of a rule There must have been a single room cleaned and ready to go between 9 00 am when we arrived and 4 pm,66, Reception was very accommodating,10.0," Leisure trip, Group, Standard Double Room, Stayed 1 night, Submitted from a mobile device ",48.8493082,2.2743626,8.5,-0.09999999999999964,1,0,0,0,1,0,0,0
"Paris, France",10/18/2016,7.8,Le Lavoisier, United States of America , For the price we pay we didn t get much Small room compared to the pictures Hallways are dark and creepy Feels like you are the only one staying there You can hear noises thru the walls especially when maids are cleaning rooms On certain nights you can hear restaurant music thru thin window glass Tiny bathrooms Stinky elevators 6 for bottle of water no thank you ,12, Only thing positive is close to metro Nothing else that I can think off ,3.8," Leisure trip, Couple, Double Room, Stayed 3 nights, Submitted from a mobile device ",48.8737702,2.3201063,7.8,0.20000000000000018,1,1,0,0,0,0,0,0
"Paris, France",7/23/2017,9.4,H tel Moli re, New Zealand , Nothing to complain about ,124, Everything Very friendly and helpful the entire staff went out of their way to accomodate our needs nothing was too much trouble Superb location No language issues as all the staff spoke English Beautiful rooms very comfortable Wifi excellent Loved having own coffee machine ,10.0," Leisure trip, Family with young children, Superior Double or Twin Room, Stayed 3 nights, Submitted from a mobile device ",48.8655293,2.3360102,9.4,-0.20000000000000107,1,0,0,0,0,1,0,0
